Provincias;Sector económico;Periodo;Total
06 Badajoz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T3;8,3
06 Badajoz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T2;8,7
06 Badajoz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T1;9,5
06 Badajoz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T4;10,1
06 Badajoz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T3;8,3
06 Badajoz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T2;8,5
06 Badajoz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T1;8,7
06 Badajoz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2020T4;9,8
06 Badajoz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2020T3;9,4
07 Balears, Illes;Servicios;2025T4;82,8
07 Balears, Illes;Servicios;2025T3;81,3
07 Balears, Illes;Servicios;2025T2;80,3
07 Balears, Illes;Servicios;2025T1;77,6
07 Balears, Illes;Servicios;2024T4;79,8
07 Balears, Illes;Servicios;2024T3;78,9
07 Balears, Illes;Servicios;2024T2;80,9
07 Balears, Illes;Servicios;2024T1;78,9
07 Balears, Illes;Servicios;2023T4;80,5
07 Balears, Illes;Servicios;2023T3;83,4
07 Balears, Illes;Servicios;2023T2;82,0
07 Balears, Illes;Servicios;2023T1;80,3
07 Balears, Illes;Servicios;2022T4;78,5
07 Balears, Illes;Servicios;2022T3;81,7
07 Balears, Illes;Servicios;2022T2;78,6
07 Balears, Illes;Servicios;2022T1;77,4
07 Balears, Illes;Servicios;2021T4;75,3
07 Balears, Illes;Servicios;2021T3;77,2
07 Balears, Illes;Servicios;2021T2;74,0
07 Balears, Illes;Servicios;2021T1;75,5
07 Balears, Illes;Servicios;2020T4;76,7
07 Balears, Illes;Servicios;2020T3;79,5
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T4;2,7
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T3;2,6
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T2;2,7
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T1;4,4
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T4;3,0
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T3;3,0
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T2;2,8
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T1;2,7
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T4;3,5
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T3;2,7
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T2;3,0
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T1;3,5
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T4;3,6
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T3;2,8
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T2;3,9
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T1;5,4
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T4;5,5
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T3;6,2
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T2;8,8
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T1;8,5
